factor_1	factor_2	factor_3	factor_4	factor_5	factor_6	factor_7	factor_8	factor_9	factor_10	factor_11	factor_12	factor_13	factor_14	factor_15	factor_16	factor_17	factor_18	factor_19	factor_20	factor_21	factor_22	factor_23	factor_24	factor_25	factor_26	factor_27	factor_28	factor_29	factor_30	factor_31	factor_32	factor_33	factor_34	factor_35
-1099.017082	-19.41869311	-6.962873618	-9.922292628	-0.190841975	13.1027339	-1.816360802	4.451223687	-15.08347654	-0.270269379	-9.288857352	-5.338127366	-3.34715742	3.543565144	-13.26793859	0.017565826	-2.618511454	4.356195272	-3.281316889	-3.421162217	-3.713860076	-6.580413097	-8.369475733	-7.555790909	3.663890947	-1.090761956	3.801053164	-3.731755862	-3.975229369	6.972768244	3.434264415	-0.41390839	1.560433907	0.631962705	-0.049834237
-1100.303556	21.26923853	10.29349457	-0.051224358	5.561986116	-6.537284373	10.56526911	-0.903408277	-4.054572135	-3.468345788	2.842717296	4.919376407	-3.604996494	-2.690930042	-5.011016106	-9.986582101	-6.344380514	1.393358366	0.599896595	-2.578836196	4.838505825	0.385522769	-0.950321117	-3.170433836	8.940342279	5.183659918	-11.11518863	-2.774695862	-5.387055713	-5.840763179	2.924534676	-6.766785237	-4.834357998	2.887039144	3.325669048
-1098.528764	-1.673501109	1.82300995	-3.252803714	15.2800365	-15.77093144	-7.391956088	-5.667698954	-4.055917006	5.180703166	-1.46561872	-4.125805198	-1.448389437	-1.311556702	-4.095593782	-4.271465152	-3.525287115	6.65999998	-3.772189729	-6.834237721	-8.95058253	0.464585892	-4.165024996	3.824303545	-1.123217155	-5.326347956	1.221944841	3.315560113	1.960151439	-9.892308247	-9.940147676	6.471114651	-0.064573162	3.475351079	2.579055177
-1101.981422	-4.938694237	-9.311370063	-2.066113153	-7.610909311	-7.407213107	5.44431874	3.812220978	-13.75919321	-4.913804715	9.46100078	-4.311676978	2.74716964	6.416702689	-3.010769354	3.866361015	-6.775986151	-5.569167849	2.606454756	-9.207590394	9.541833087	2.119431989	5.062093608	5.129770649	5.385414344	6.553153359	4.529764606	5.604379136	3.826933302	4.933610045	-6.602100665	2.310848702	0.150846207	-0.634210102	-0.678890629
-1097.18799	-5.20559309	16.19900447	-3.634676144	-9.072136176	14.60373208	-2.733119495	-26.28395388	-2.617763848	0.989540575	5.195470383	-2.262459492	-4.553267631	-2.387245923	-14.54240273	2.539014477	-0.950959297	3.327210327	4.182717967	10.29917773	4.641373182	3.297681661	3.892347716	2.748668937	-3.312015687	-2.952848356	-0.747838108	3.225216383	2.714227241	-0.94518168	-1.686523077	-1.822931462	-1.248923158	1.271667285	-0.912484834
-1097.72848	15.06543017	15.5668878	-7.21980545	-12.22348894	5.571404535	2.78885282	-4.559456896	5.107550458	-1.848714589	-3.638697618	-3.733310105	-13.9012064	0.528786462	3.53259683	7.715946696	8.69304252	1.365960453	-0.434977905	-11.85306568	-7.25777143	7.432279705	2.825601639	2.275301261	7.279141824	1.427698108	0.902044759	-3.36758939	4.7705972	-0.177110858	6.179420952	3.497546513	-1.110290668	0.708487579	0.480995079
-1102.136351	4.52265331	9.052986557	-9.113787494	-0.64041097	6.018765645	23.4733324	-3.914969438	1.320425494	1.562847502	-3.928597461	2.849573619	7.562318957	-3.812063975	2.095627446	-3.257126843	4.741826513	-10.73974476	12.33547399	-1.895628964	-2.147023101	-0.744958847	-5.050852904	-2.770257205	-0.03634422	-6.498364204	5.134403105	-4.921502132	-1.348334043	-0.099074249	-8.218700824	0.758038868	-1.711081874	0.448541757	-1.415992804
-1099.998984	7.010757149	6.464709749	-23.88231447	-0.391734761	-5.646210943	8.608907995	0.212865924	6.515867857	2.593418818	0.2794961	5.688448465	2.824911429	-15.40133306	1.065079011	1.735141933	-7.180353253	5.479755764	-8.606177778	-2.171506793	7.288245521	-0.412848096	-4.134323994	-0.071314941	-6.277414474	3.373708913	10.27734647	1.106222209	3.668521043	-0.676163941	6.067068787	-1.244922694	1.058637864	-1.832598026	-0.850648259
-1097.157014	-8.229347372	13.16881241	-3.197954912	22.40297837	7.742805567	-4.916440746	1.088523554	9.095454567	-4.585803065	5.552043362	-14.92359371	-3.021878903	-11.99623742	7.685088823	5.754696108	-3.6331976	-0.609498141	1.954900531	-2.634909856	2.273489425	-4.62886049	-0.226937067	0.872355495	3.992747959	-3.122817867	-6.695965002	2.847090255	-4.824546376	5.043556089	-3.214175342	-1.842143949	5.880624222	-2.077378669	-2.994206498
-1099.324533	32.64958961	-2.280832961	-11.90269506	-9.677588346	7.060571034	-1.403278112	5.047886371	-10.12680244	13.16933981	0.878099494	-0.661726613	-3.0909983	-0.870859322	3.857441398	-4.206930686	-3.946380738	-8.868237489	-5.512703361	3.294856567	-4.602343962	-10.82326446	5.897503584	8.228526364	-3.136435893	-3.872847082	-4.75924577	-1.751380392	3.434458968	2.886574207	0.965343366	-0.169479365	2.348483059	1.160139824	2.898015268
-1099.858904	-0.390246945	-13.68715681	-4.103284363	-2.251792932	-18.9238594	-3.285898112	12.35051652	7.739304367	11.80253868	-3.818057837	-11.4969008	-6.278099236	-3.472663688	-9.462440037	-2.052684182	7.356362901	-3.796840474	10.6718731	4.998791708	6.57968784	0.063458904	1.630210604	1.528062179	0.819133624	-0.503073635	2.540125834	1.344002704	-3.908185809	-2.640609263	6.296412945	2.597430552	2.04251175	1.715824628	0.276399871
-1098.649396	13.32912598	-19.98679183	-4.473618843	-4.454038287	7.4013751	1.48077577	3.686872514	1.558442698	14.15631089	-3.245080703	-0.251801941	-1.694503585	1.61478006	1.757947825	-1.921116837	-1.498688599	3.812555973	-0.956958738	3.227598839	-3.403510998	7.145347173	-0.140653638	-7.180146695	4.682344965	2.042125363	-2.815882095	6.143935236	2.686853657	-2.921379867	-5.433304497	-3.700624003	0.919430965	-12.4319008	-7.419307635
-1106.970977	-7.193515675	-5.821232405	-9.324038137	1.815290876	13.82979184	0.415735005	8.698091428	2.4060406	5.958610451	7.65399401	7.885817845	4.715036541	4.062795651	4.853116424	7.512841939	-6.95546558	0.122175619	2.333137784	2.84368444	0.175584921	3.053907194	0.343309538	-6.393255289	2.002775069	-3.237684967	-3.539386835	5.758911596	-1.938328759	-3.580167907	5.065279219	10.47560175	-2.847733122	10.13957199	-0.939151591
-1097.033836	-40.88969439	-2.229179542	-8.468351287	7.251630706	4.377270327	-0.946217318	7.529555649	-3.801072744	9.638008908	8.977066821	3.704041936	9.136080433	-1.089293284	-2.781979446	0.515182586	10.33668123	-0.953812276	-2.545374156	-4.433691325	-0.907680707	5.630741942	-3.025165147	8.817572896	-2.514015629	1.096145059	-7.338812068	-5.055969871	3.244389004	-1.400144785	2.438508747	-6.536317113	-1.427745603	-0.622537739	-0.927339748
-1097.775456	-3.179490891	-5.555152155	-31.42379251	5.744488493	-4.249575056	-7.53153011	-6.794318618	8.597637267	1.405971573	2.853667876	7.77254987	-1.119078515	9.680364111	3.970471334	0.416486507	3.303921072	6.723912562	2.40590403	1.070711924	-1.741341709	-3.243247451	8.45686891	-0.225241805	-0.883812878	5.476759347	3.06509728	-4.313631785	-10.01781994	4.105139066	-5.493387617	-1.191003816	-2.212845292	-1.634705895	4.514992854
-1101.355342	-13.83248332	14.05015777	-13.19635107	10.08528161	-18.89233593	1.238534421	-0.087939127	-7.581632589	-12.61120021	-3.612453061	6.79513178	-3.06435167	6.2093757	2.680871823	0.075287867	-5.412774307	-3.742622859	4.391545975	9.467265561	-5.698288183	2.260895688	-2.224235617	3.396141709	0.930700312	-4.050471453	-3.054951196	0.857956408	3.520365551	2.572355127	6.934220798	3.426078923	0.161810975	-8.152595279	-3.346720472
-1097.27406	18.56324597	-16.69089533	-18.26461711	-2.265490694	-3.42850685	-1.969120389	-5.976482069	-9.386691862	-15.63490373	-5.637696943	-11.35318915	10.1330121	1.730184224	5.58683243	0.176197684	10.40551225	-0.029002621	-6.864139774	2.814924807	5.777707218	4.677468078	0.831384663	-5.49726248	-3.253839472	-3.012484312	-4.563877663	0.089159834	0.609858943	-3.030696142	0.269251663	-0.619215192	3.04242973	3.692068796	0.060888841
